,X0,X1,X2,X3
333,-5.64663,-5.449,-1.85536,-4.39608
334,-4.88054,-5.45043,-1.69158,-4.55665
335,-5.22072,-5.40282,-1.77422,-4.38984
336,-5.56181,-5.46107,-1.71074,-4.50978
337,-5.33226,-5.38547,-1.76463,-4.49289
338,-5.19457,-5.60222,-1.73764,-4.45964
339,-5.11671,-5.45723,-1.78221,-4.43227
340,-5.1583,-5.63035,-1.77352,-4.51573
341,-5.38282,-5.55042,-1.79687,-4.54596
342,-5.25887,-5.49272,-1.77753,-4.58007
343,-5.03183,-5.43931,-1.79051,-4.57027
344,-5.82579,-5.51624,-1.58784,-4.39974
345,-5.65702,-5.41852,-1.69178,-4.5451
346,-5.60329,-5.38032,-1.68959,-4.39813
347,-5.05221,-5.45991,-1.87815,-4.55443
348,-5.63916,-5.49768,-1.59042,-4.3936
349,-5.49104,-5.40477,-1.7503,-4.52051
350,-5.2773,-5.51779,-1.79107,-4.50493
351,-5.25204,-5.34646,-1.81894,-4.63278
352,-5.41524,-5.53879,-1.74752,-4.5142
353,-5.37379,-5.54381,-1.7331,-4.46088
354,-5.22112,-5.60123,-1.68981,-4.45228
355,-5.06962,-5.51054,-1.7961,-4.5492
356,-5.1156,-5.55241,-1.73745,-4.52682
357,-5.35637,-5.5263,-1.76029,-4.44172
358,-5.42393,-5.53185,-1.82237,-4.44672
359,-5.66968,-5.4472,-1.63436,-4.50629
360,-5.51576,-5.45058,-1.62189,-4.54567
361,-5.29045,-5.44068,-1.81568,-4.50017
362,-5.36466,-5.47565,-1.79596,-4.57812
363,-5.28097,-5.51353,-1.77986,-4.36008
364,-5.2036,-5.53238,-1.69347,-4.58969
365,-5.39511,-5.48427,-1.79256,-4.45641
366,-5.65262,-5.44194,-1.70632,-4.50079
367,-5.31973,-5.46167,-1.78608,-4.51584
368,-5.2974,-5.4167,-1.79736,-4.5277
369,-5.24057,-5.47589,-1.81606,-4.56061
370,-5.65241,-5.49013,-1.73125,-4.46
371,-5.43301,-5.45314,-1.6955,-4.57248
372,-5.61189,-5.45794,-1.82452,-4.373
373,-5.24372,-5.4816,-1.70514,-4.61861
374,-5.60389,-5.4727,-1.79907,-4.39233
375,-5.5848,-5.419,-1.80151,-4.45361
376,-5.52507,-5.62247,-1.62961,-4.45685
377,-5.27957,-5.42173,-1.78098,-4.45069
378,-5.27956,-5.43183,-1.68598,-4.56893
379,-5.08796,-5.43058,-1.80322,-4.62991
380,-5.68787,-5.44132,-1.67775,-4.36529
381,-5.51828,-5.49015,-1.67449,-4.44599
382,-5.57232,-5.42412,-1.71544,-4.46825
383,-5.49115,-5.51882,-1.7153,-4.49941
384,-5.28592,-5.45572,-1.74923,-4.54169
385,-5.25255,-5.45435,-1.75866,-4.5314
386,-5.41739,-5.43861,-1.80271,-4.45379
387,-5.44726,-5.47655,-1.77762,-4.45405
388,-5.41572,-5.47928,-1.7783,-4.42922
389,-5.14351,-5.43589,-1.75915,-4.55831
390,-5.17826,-5.36378,-1.83366,-4.45784
391,-5.1557,-5.58028,-1.71063,-4.5725
392,-5.39505,-5.39831,-1.71333,-4.43139
393,-5.32954,-5.4265,-1.70296,-4.45308
394,-5.39996,-5.46371,-1.73901,-4.40452
395,-5.20941,-5.45967,-1.77263,-4.53481
396,-5.45593,-5.52445,-1.68894,-4.44351
397,-5.48409,-5.50312,-1.7718,-4.54181
398,-5.35492,-5.38432,-1.73889,-4.47437
399,-5.24367,-5.51593,-1.67285,-4.56133
400,-5.40126,-5.45076,-1.79178,-4.49794
401,-5.61004,-5.51455,-1.66447,-4.4912
402,-5.40743,-5.53556,-1.78404,-4.43429
403,-5.56488,-5.44516,-1.74671,-4.53763
404,-5.47851,-5.51717,-1.71139,-4.46341
405,-5.51668,-5.50588,-1.81001,-4.46965
406,-5.24793,-5.40614,-1.73504,-4.60381
407,-5.4338,-5.4942,-1.75363,-4.38631
408,-5.20721,-5.45312,-1.73558,-4.52825
409,-5.37832,-5.44495,-1.71123,-4.53237
410,-5.28883,-5.46975,-1.732,-4.48015
411,-5.29328,-5.48545,-1.78439,-4.51582
412,-5.28665,-5.41354,-1.769,-4.47078
413,-5.32477,-5.37739,-1.71497,-4.47412
414,-5.34817,-5.38535,-1.74811,-4.47198
415,-5.16911,-5.42403,-1.78655,-4.52632
416,-5.56562,-5.55245,-1.83883,-4.53833
417,-5.868,-5.42124,-1.62747,-4.46262
418,-5.1405,-5.49369,-1.82529,-4.56779
419,-5.33199,-5.44999,-1.72444,-4.44661
420,-5.27117,-5.49352,-1.83088,-4.45102
421,-5.18228,-5.40145,-1.72236,-4.59772
422,-5.14327,-5.32509,-1.76207,-4.49295
423,-5.07542,-5.5885,-1.80589,-4.5124
424,-5.60749,-5.37752,-1.69955,-4.50013
425,-5.34576,-5.57452,-1.7866,-4.48493
426,-5.3553,-5.53479,-1.81043,-4.41254
427,-5.61069,-5.38845,-1.70997,-4.69283
428,-5.75503,-5.51946,-1.73566,-4.29831
429,-5.41663,-5.39783,-1.71395,-4.63289
430,-5.5683,-5.40386,-1.6517,-4.43729
431,-5.67703,-5.32213,-1.67949,-4.45172
432,-5.37064,-5.4489,-1.83213,-4.38841
433,-5.54093,-5.48488,-1.62857,-4.5596
434,-5.39311,-5.53638,-1.66876,-4.63812
435,-5.88195,-5.56031,-1.68435,-4.34627
436,-5.30496,-5.44704,-1.7604,-4.53461
437,-5.40042,-5.43524,-1.78105,-4.50315
438,-5.72733,-5.46572,-1.68585,-4.43103
439,-5.53136,-5.48167,-1.71421,-4.38826
440,-5.48886,-5.48303,-1.63058,-4.4954
441,-5.54671,-5.4066,-1.78432,-4.45467
442,-5.72621,-5.43646,-1.69874,-4.38873
443,-5.18314,-5.45553,-1.80702,-4.54609
444,-5.52619,-5.33505,-1.73692,-4.54384
445,-5.23581,-5.54243,-1.68156,-4.50509
446,-5.2325,-5.52222,-1.71888,-4.50637
447,-4.96956,-5.62656,-1.78404,-4.5065
448,-5.02341,-5.4939,-1.80313,-4.54724
